host	sub	surf	E_tot	n_host	n_sub	surf_area(A^2)	
Cu	Tl	110	-54.995048	14	2	9.286961304	1ML
Cu	In	110	-56.442834	14	2	9.291761991	1ML
Cu	Sb	110	-58.981301	14	2	9.347162483	1ML
Au	Bi	100	-52.922886	14	2	9.366221793	1ML
Cu	Pb	110	-57.732597	14	2	9.411466306	1ML
Cu	Bi	110	-58.331258	14	2	9.436926026	1ML
Cu	Te	110	-56.800154	14	2	9.504047827	1ML
Rh	Zn	110	-103.85325	14	2	10.35881372	1ML
Rh	Hg	110	-100.89288	14	2	10.38245615	1ML
Rh	As	110	-111.63034	14	2	10.38894456	1ML
Rh	Ga	110	-108.27675	14	2	10.42589259	1ML
Rh	Cd	110	-102.69118	14	2	10.44706498	1ML
Rh	Ge	110	-111.24206	14	2	10.45081225	1ML
Rh	In	110	-106.84134	14	2	10.47496679	1ML
Rh	Tl	110	-104.96416	14	2	10.49176665	1ML
Ir	Zn	110	-125.49197	14	2	10.53193224	1ML
Ir	As	110	-132.60988	14	2	10.57248855	1ML
Rh	Sb	110	-109.98104	14	2	10.57321189	1ML
Ir	Ga	110	-129.56063	14	2	10.57393058	1ML
Rh	Sn	110	-109.5923	14	2	10.58237558	1ML
Rh	Pb	110	-107.99672	14	2	10.5843944	1ML
Ir	Cd	110	-124.28873	14	2	10.59479472	1ML
Ir	Hg	110	-122.33517	14	2	10.59897377	1ML
Rh	Te	110	-107.66739	14	2	10.62204985	1ML
Pd	As	110	-82.739818	14	2	10.62435002	1ML
Ir	Ge	110	-132.42265	14	2	10.6282255	1ML
Ir	In	110	-128.33826	14	2	10.65915801	1ML
Ir	Tl	110	-126.4865	14	2	10.67338182	1ML
Ir	Sb	110	-131.16084	14	2	10.68173844	1ML
Pd	Hg	110	-72.761036	14	2	10.69729129	1ML
Rh	Bi	110	-108.81443	14	2	10.70290839	1ML
Ir	Sn	110	-130.98218	14	2	10.71783831	1ML
Pt	Hg	110	-84.377896	14	2	10.72472065	1ML
Ir	Pb	110	-129.54006	14	2	10.73246046	1ML
Ir	Te	110	-128.33211	14	2	10.74556574	1ML
Pd	Tl	110	-76.949235	14	2	10.74640448	1ML
Ir	Bi	110	-130.04578	14	2	10.80757621	1ML
Pd	Zn	110	-75.732052	14	2	10.80974001	1ML
Pt	Zn	110	-87.834115	14	2	10.85062615	1ML
Pt	As	110	-94.557433	14	2	10.87696972	1ML
Pd	In	110	-78.678772	14	2	10.87999696	1ML
Pt	Ga	110	-91.991435	14	2	10.8832112	1ML
Pd	Sb	110	-81.657925	14	2	10.89656467	1ML
Pd	Ga	110	-80.009214	14	2	10.97955891	1ML
Pt	In	110	-90.620392	14	2	10.98339281	1ML
Pd	Cd	110	-74.659735	14	2	11.01229595	1ML
Pd	Sn	110	-81.342114	14	2	11.01667016	1ML
Pd	Bi	110	-80.802332	14	2	11.03245978	1ML
Pt	Ge	110	-94.554155	14	2	11.06032577	1ML
Pt	Tl	110	-88.835511	14	2	11.08134087	1ML
Pd	Ge	110	-82.676783	14	2	11.08637522	1ML
Pt	Cd	110	-86.552242	14	2	11.10358857	1ML
Pt	Sb	110	-93.50037	14	2	11.20490338	1ML
Pt	Sn	110	-93.340568	14	2	11.23351001	1ML
Pt	Pb	110	-91.974703	14	2	11.25579392	1ML
Pd	Te	110	-79.517468	14	2	11.29063041	1ML
Au	Hg	110	-45.525055	14	2	11.2980315	1ML
Au	As	110	-53.879998	14	2	11.34869746	1ML
Pt	Te	110	-90.700273	14	2	11.3497332	1ML
Pt	Bi	110	-92.744075	14	2	11.40299524	1ML
Ag	Tl	110	-43.291581	14	2	11.42700272	1ML
Au	Tl	110	-49.986608	14	2	11.50410947	1ML
Ag	Pb	110	-45.897443	14	2	11.56830729	1ML
Ag	Cd	110	-40.581772	14	2	11.64600527	1ML
Au	Te	110	-50.980676	14	2	11.64628729	1ML
Ag	Hg	110	-39.309508	14	2	11.66207159	1ML
Ag	Te	110	-45.240095	14	2	11.67460776	1ML
Ag	In	110	-44.328402	14	2	11.69835242	1ML
Ag	As	110	-47.751285	14	2	11.72233571	1ML
Au	Sn	110	-53.5827	14	2	11.78709359	1ML
Au	Pb	110	-52.83814	14	2	11.87436657	1ML
Ag	Sn	110	-46.895014	14	2	11.87501326	1ML
Ag	Zn	110	-41.053616	14	2	11.92632463	1ML
Ag	Bi	110	-46.777565	14	2	11.92955381	1ML
Au	Zn	110	-47.946567	14	2	11.99397282	1ML
Au	Sb	110	-53.320038	14	2	11.99641782	1ML
Au	Ga	110	-51.529411	14	2	12.00514477	1ML
Ag	Sb	110	-46.991247	14	2	12.036891	1ML
Ag	Ga	110	-44.77005	14	2	12.06878605	1ML
Au	Ge	110	-54.239844	14	2	12.07859323	1ML
Au	Cd	110	-47.249861	14	2	12.088722	1ML
Ag	Ge	110	-47.516384	14	2	12.11897069	1ML
Au	Bi	110	-53.138402	14	2	12.24413424	1ML
Co	As	210	-151	20	2	13.2288456	1ML
Ni	As	210	-121	20	2	13.35635959	1ML
Co	Hg	210	-138	20	2	13.41763392	1ML
Co	Ga	210	-146	20	2	13.42392347	1ML
Ni	Ga	210	-117	20	2	13.44357288	1ML
Co	Tl	210	-144	20	2	13.46449466	1ML
Ni	Cd	210	-111	20	2	13.51233157	1ML
Co	Cd	210	-141	20	2	13.53633801	1ML
Ni	In	210	-115	20	2	13.54055355	1ML
Ni	Zn	210	-112	20	2	13.54427937	1ML
Co	Sb	210	-149	20	2	13.54606313	1ML
Ni	Tl	210	-114	20	2	13.56495364	1ML
Co	Zn	210	-142	20	2	13.5705501	1ML
Co	Sn	210	-148	20	2	13.59724746	1ML
Co	In	210	-145	20	2	13.60409531	1ML
Co	Pb	210	-147	20	2	13.60656824	1ML
Ni	Pb	210	-117	20	2	13.62115044	1ML
Ni	Hg	210	-110	20	2	13.63449711	1ML
Ni	Sn	210	-119	20	2	13.64479675	1ML
Co	Bi	210	-149	20	2	13.64905619	1ML
Co	Ge	210	-150	20	2	13.6864623	1ML
Ni	Sb	210	-120	20	2	13.69200425	1ML
Ni	Ge	210	-120	20	2	13.70962264	1ML
Co	Te	210	-148	20	2	13.71320414	1ML
Ni	Bi	210	-119	20	2	13.75877835	1ML
Ni	Te	210	-118	20	2	13.76672649	1ML
Cu	Ga	210	-78.8	20	2	13.96164114	1ML
Cu	Hg	210	-73	20	2	14.08163829	1ML
Cu	Zn	210	-74.9	20	2	14.10807498	1ML
Cu	Cd	210	-74.3	20	2	14.15769716	1ML
Cu	As	210	-82.9	20	2	14.2101881	1ML
Cu	Bi	210	-81.4	20	2	14.29138662	1ML
Cu	Tl	210	-77.4	20	2	14.32379087	1ML
Cu	Sb	210	-81.8	20	2	14.3312159	1ML
Cu	In	210	-78.3	20	2	14.34293013	1ML
Cu	Pb	210	-80.5	20	2	14.37122774	1ML
Cu	Sn	210	-81.2	20	2	14.37439934	1ML
Cu	Ge	210	-82.1	20	2	14.38802507	1ML
Cu	Te	210	-80.6	20	2	14.5802746	1ML
Rh	Hg	210	-143	20	2	16.21652129	1ML
Rh	As	210	-155	20	2	16.23794332	1ML
Rh	Tl	210	-148	20	2	16.24617722	1ML
Rh	Sb	210	-154	20	2	16.24724362	1ML
Rh	Pb	210	-152	20	2	16.30814755	1ML
Rh	Te	210	-152	20	2	16.31197064	1ML
Rh	Ge	210	-154	20	2	16.35343721	1ML
Rh	In	210	-150	20	2	16.36218746	1ML
Rh	Ga	210	-151	20	2	16.37346443	1ML
Rh	Zn	210	-146	20	2	16.37871583	1ML
Rh	Sn	210	-153	20	2	16.38125898	1ML
Rh	Cd	210	-145	20	2	16.38718297	1ML
Rh	Bi	210	-153	20	2	16.43493888	1ML
Ir	Sb	210	-184	20	2	16.53090486	1ML
Ir	As	210	-185	20	2	16.5489764	1ML
Ir	Te	210	-182	20	2	16.58023397	1ML
Ir	Hg	210	-174	20	2	16.60367458	1ML
Ir	Ge	210	-185	20	2	16.61907711	1ML
Ir	Ga	210	-181	20	2	16.62801225	1ML
Ir	Tl	210	-179	20	2	16.6520814	1ML
Ir	Zn	210	-176	20	2	16.65531576	1ML
Ir	Cd	210	-176	20	2	16.65637885	1ML
Ir	In	210	-180	20	2	16.66990432	1ML
Pt	As	210	-130	20	2	16.68509723	1ML
Ir	Pb	210	-183	20	2	16.69982829	1ML
Ir	Sn	210	-184	20	2	16.70413676	1ML
Ir	Bi	210	-184	20	2	16.7304888	1ML
Pd	As	210	-114	20	2	16.80014126	1ML
Pd	Hg	210	-103	20	2	16.83197872	1ML
Pt	Hg	210	-120	20	2	16.87073768	1ML
Pd	In	210	-109.76491	20	2	16.89277359	1ML
Pt	Ga	210	-127.64304	20	2	16.91078371	1ML
Pd	Sb	210	-113.57754	20	2	16.92997654	1ML
Pd	Ga	210	-110.79162	20	2	17.0028349	1ML
Pd	Sn	210	-113.0435	20	2	17.01222205	1ML
Pd	Tl	210	-108	20	2	17.01413766	1ML
Pt	Tl	210	-125	20	2	17.03422574	1ML
Pd	Zn	210	-105.82837	20	2	17.04138133	1ML
Pt	Zn	210	-122.85939	20	2	17.05910286	1ML
Pd	Pb	210	-111.67102	20	2	17.06657187	1ML
Pt	Sb	210	-130.27099	20	2	17.06946811	1ML
Pd	Ge	210	-114	20	2	17.07909789	1ML
Pt	Ge	210	-131	20	2	17.07927847	1ML
Pt	In	210	-126.70718	20	2	17.10448933	1ML
Pt	Te	210	-127.6657	20	2	17.17232016	1ML
Pt	Pb	210	-128.67182	20	2	17.17983019	1ML
Pd	Te	210	-111.59053	20	2	17.18935835	1ML
Pt	Cd	210	-122	20	2	17.18937576	1ML
Pd	Bi	210	-112.84194	20	2	17.1947374	1ML
Pd	Cd	210	-105	20	2	17.22561334	1ML
Pt	Sn	210	-129.97807	20	2	17.2653828	1ML
Pt	Bi	210	-129.62572	20	2	17.39278338	1ML
