host	sub	surf	E_tot	n_host	n_sub	latt_a	latt_b	surf_area(A^2)	type
Co	Zn	110	-.21002338E+03	30	2	4.958451736795	3.486943726	17.289842174291127	linearlong
Co	Zn	110	-.21147520E+03	30	2	6.959797491263	2.485761727	17.30039823145218	linearshort
Co	Zn	110	-.21151061E+03	30	2	4.28166937526	4.281458293031883	17.32695581551691	zigzag
Co	Zn	111	-.23889705E+03	34	2	4.960608278056	4.960608278055242	21.310836593920882	linear
Co	Zn	111	-.23908350E+03	34	2	4.285937230651	4.945746489	21.19715901056657	zigzag
Co	Bi	100	-.21572792E+03	30	2	5.017555666265	2.645299521004	13.272937600581711	truelinear
Co	Bi	110	-.21658961E+03	30	2	4.960750729456	3.481037519	17.268559411642954	linearlong
Co	Bi	110	-.21490375E+03	30	2	6.486355295252	2.656347601001	17.230014327782783	linearshort
Co	Bi	110	-.21709399E+03	30	2	4.268108495143	4.267366442372563	17.237096048075156	zigzag
Co	Bi	111	-.24439599E+03	34	2	4.930335851034	4.930335851034334	21.051528769625925	linear
Co	Bi	111	-.24541999E+03	34	2	4.281322152424	4.942615801	21.16093051974219	zigzag
Co	Pb	100	-.21305458E+03	30	2	3.509202371	3.509978064	12.31722334434679	linear
Co	Pb	100	-.21542809E+03	30	2	4.97978313675	2.591484116022	12.905028900121836	truelinear
Co	Pb	110	-.21677811E+03	30	2	4.954014120768	3.488089014	17.28004222985173	linearlong
Co	Pb	110	-.21432886E+03	30	2	6.758322194282	2.581630417	17.447490144644593	linearshort
Co	Pb	110	-.21701820E+03	30	2	4.283156159693	4.283998671836461	17.327972292706626	zigzag
Co	Pb	111	-.24402201E+03	34	2	4.936529251525	4.936529251524203	21.104451103282056	linear
Co	Pb	111	-.24406817E+03	34	2	4.276368384123	4.927694896	21.072638659858676	zigzag
Co	Sb	100	-.21829749E+03	30	2	3.517983632	3.518558406	12.37823088054401	linear
Co	Sb	100	-.21608533E+03	30	2	4.950234270896	2.55707203	12.658105596055604	truelinear
Co	Sb	110	-.21894911E+03	30	2	4.963428425695	3.497840991	17.361283403290567	linearlong
Co	Sb	110	-.21619801E+03	30	2	6.860686301187	2.551178805	17.502837479342123	linearshort
Co	Sb	110	-.21906041E+03	30	2	4.286946030677	4.287381284464765	17.37315381030857	zigzag
Co	Sb	111	-.24614910E+03	34	2	4.944481944764	4.944481944763905	21.172503943240436	linear
Co	Sb	111	-.24634132E+03	34	2	4.287812038163	4.945211209	21.2041361532088	zigzag
Co	Te	100	-.21679715E+03	30	2	3.518720693	3.519398134	12.383779041011387	linear
Co	Te	100	-.21491063E+03	30	2	4.930702204741	2.594713197	12.793758081118469	truelinear
Co	Te	110	-.21693619E+03	30	2	4.957794518535	3.510117504	17.402441320744956	linearlong
Co	Te	110	-.21387878E+03	30	2	6.855733010307	2.569187431	17.61366308037254	linearshort
Co	Te	110	-.21724126E+03	30	2	4.289080499744	4.288331136597625	17.34315786539592	zigzag
Co	Te	111	-.24422899E+03	34	2	4.928737477685	4.928737477685555	21.03788152557356	linear
Co	Te	111	-.24247578E+03	34	2	4.246817513917	4.912492675046	20.862459929374324	zigzag
Co	Hg	100	-.20942375E+03	30	2	3.495522811	3.497873236	12.226895686424387	linear
Co	Hg	100	-.20827076E+03	30	2	5.078781670328	2.553432167	12.968324486185505	truelinear
Co	Hg	110	-.20879748E+03	30	2	4.976154782014	3.474039381	17.28735767866811	linearlong
Co	Hg	110	-.20837548E+03	30	2	6.843497979155	2.529221459	17.30872194350196	linearshort
Co	Hg	110	-.20892307E+03	30	2	4.269951068948	4.2699806298622445	17.266167454078143	zigzag
Co	Hg	111	-.23618840E+03	34	2	4.935218859581	4.935218859581067	21.09324832059889	linear
Co	Hg	111	-.23635438E+03	34	2	4.268059362759	4.936202174	21.06800390521203	zigzag
Co	Cd	100	-.21155520E+03	30	2	3.525255187	3.525368284001	12.427822829259814	linear
Co	Cd	100	-.21098996E+03	30	2	4.989383885012	2.510341974	12.525059790944812	truelinear
Co	Cd	110	-.21014410E+03	30	2	4.979863193	3.475214917	17.30609485293285	linearlong
Co	Cd	110	-.20993617E+03	30	2	6.915138152017	2.51536589	17.394102632221195	linearshort
Co	Cd	110	-.21040128E+03	30	2	4.277683963364	4.277581867771054	17.34292622020036	zigzag
Co	Cd	111	-.23755356E+03	34	2	4.939628562854	4.939628562854189	21.130959524113745	linear
Co	Cd	111	-.23772108E+03	34	2	4.27561673536	4.942516742	21.13230729689218	zigzag
Co	Tl	100	-.21367621E+03	30	2	3.504710336	3.504895801	12.2836445403677	linear
Co	Tl	100	-.21296267E+03	30	2	4.973792519221	2.547523555	12.670853600398289	truelinear
Co	Tl	110	-.21338541E+03	30	2	4.947081415938	3.488807163	17.25941307986868	linearlong
Co	Tl	110	-.21199343E+03	30	2	6.899872304569	2.531451056	17.46668903166635	linearshort
Co	Tl	110	-.21354456E+03	30	2	4.271682037455	4.272273606635259	17.2453635287318	zigzag
Co	Tl	111	-.24061015E+03	34	2	4.927433683142	4.927433683141918	21.026752733519004	linear
Co	Tl	111	-.24080123E+03	34	2	4.274134325791	4.932306283001	21.08133958948919	zigzag
Co	Ge	100	-.22066665E+03	30	2	3.502879332	3.502995868	12.270571826098601	linear
Co	Ge	100	-.21596799E+03	30	2	4.948954598286	2.511212642036	12.427877352077996	truelinear
Co	Ge	110	-.21970916E+03	30	2	4.944624205168	3.517111135	17.390792850386898	linearlong
Co	Ge	110	-.21855580E+03	30	2	7.01376069922	2.492520799	17.48194442201463	linearshort
Co	Ge	110	-.21968552E+03	30	2	4.298923625118	4.299172039269393	17.39485462441597	zigzag
Co	Ge	111	-.24725481E+03	34	2	4.949349429702	4.949349429702038	21.214210059756848	linear
Co	Ge	111	-.24742828E+03	34	2	4.288227617419	4.952178063	21.23606673613313	zigzag
Co	As	100	-.22094065E+03	30	2	3.491403685	3.491423074	12.189967386457628	linear
Co	As	100	-.21984841E+03	30	2	4.93619207307	2.493834906	12.310048094542468	truelinear
Co	As	110	-.22030323E+03	30	2	4.920226683459	3.491522598	17.17908265257969	linearlong
Co	As	110	-.21889075E+03	30	2	6.972069043353	2.504810207	17.46370970369932	linearshort
Co	As	110	-.22037813E+03	30	2	4.288601310868	4.28896956865185	17.297961503314458	zigzag
Co	As	111	-.24741434E+03	34	2	4.934809922762	4.93480992276164	21.08975285312425	linear
Co	As	111	-.24762895E+03	34	2	4.265341322061	4.932355309	21.038178914564654	zigzag
Au	In	100	-.10322369E+03	30	2	4.10776769475	4.108388358062	16.87630497473408	linear
Au	In	100	-.10273030E+03	30	2	5.833243597897	2.914730668	17.002334008705045	truelinear
Au	In	110	-.10258296E+03	30	2	5.795222756315	4.093198087003	23.720994699904807	linearlong
Au	In	110	-.10221753E+03	30	2	8.245789015729	2.906410951005	23.965651494991505	linearshort
Au	In	110	-.10255485E+03	30	2	5.01560570015	5.016975978481378	23.74113770026758	zigzag
Au	In	111	-.11591493E+03	34	2	5.788215591952	5.7882155919514675	29.01482992805899	linear
Au	In	111	-.11580867E+03	34	2	5.01071623917	5.795360552	29.038907229751615	zigzag
Au	Sn	100	-.10560736E+03	30	2	4.119644494001	4.118713132001	16.967633876617533	linear
Au	Sn	100	-.10520772E+03	30	2	5.833278705692	2.93399432	17.11480658947728	truelinear
Au	Sn	110	-.10511249E+03	30	2	5.820824168079	4.1437057	24.119782283966707	linearlong
Au	Sn	110	-.10465996E+03	30	2	8.256782902849	2.93359981	24.222096755009076	linearshort
Au	Sn	110	-.10511965E+03	30	2	5.057881616979	5.059849428993486	24.062904013081788	zigzag
Au	Sn	111	-.11806698E+03	34	2	5.796713050619	5.796713050618884	29.100083592566417	linear
